vx_kms,vy_kms,vz_kms,psd_s3_m6,status,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
70.0,-120.0,-200.0,0.0,4,-10973.389643475643,-10949.062083270865,-24.327563862631553,-10973.46154610764,0.07190263199663605
80.0,-120.0,-200.0,0.0,4,-10991.641140950427,-10967.495386869094,-24.145804200512305,-10991.700318605303,0.05917765487538418
90.0,-120.0,-200.0,0.0,4,-11008.652323776972,-10984.558231180576,-24.094109824250154,-11008.716496769755,0.06417299278291466
100.0,-120.0,-200.0,0.0,4,-11018.535366405997,-10994.468784566252,-24.06658982486141,-11018.594987344362,0.05962093836569693
110.0,-120.0,-200.0,0.0,4,-11028.312178020287,-11003.986581271549,-24.325574539445995,-11028.392315659312,0.0801376390245423
120.0,-120.0,-200.0,0.0,4,-11032.29796708746,-11007.564052886419,-24.73391664893377,-11032.349343991591,0.05137690413175733
130.0,-120.0,-200.0,0.0,4,-11037.470548107758,-11012.24192511849,-25.22865659328467,-11037.563043299846,0.09249519208788115
140.0,-120.0,-200.0,0.0,4,-11047.959796009405,-11021.805726562705,-26.154070553544713,-11047.996571312658,0.036775303253307356
150.0,-120.0,-200.0,0.0,4,-11051.785097317237,-11025.250047341895,-26.535011357698874,-11051.806397176602,0.02129985936517187
160.0,-120.0,-200.0,0.0,4,-11046.943468761805,-11020.06489544901,-26.878595386998445,-11047.024408488196,0.0809397263910796
170.0,-120.0,-200.0,0.0,4,-11035.48158965412,-11008.022354731236,-27.459264263872733,-11035.58603665204,0.1044469979187852
180.0,-120.0,-200.0,0.0,4,-11019.334578527832,-10991.350512383291,-27.984097411120583,-11019.330722049184,-0.003856478648231132
190.0,-120.0,-200.0,0.0,4,-11009.963169498134,-10981.385493386166,-28.57773794789999,-11009.813614695773,-0.14955480236130825
200.0,-120.0,-200.0,0.0,4,-11000.690935358642,-10971.715081589595,-28.97590377332936,-11000.476397832072,-0.21453752656998404
-200.0,-100.0,-200.0,0.0,4,-9291.848224601192,-9271.241012754252,-20.607191421549032,-9291.811533536775,-0.03669106441702752
-190.0,-100.0,-200.0,0.0,4,-9392.532253965292,-9371.991211971119,-20.541005690630577,-9392.468921313524,-0.06333265176726854
-180.0,-100.0,-200.0,0.0,4,-9492.938980617379,-9472.493008059322,-20.445931508038914,-9492.880583461432,-0.05839715594629524
